Designator,Mid X,Mid Y,Rotation,Layer
C1,141.59,-105.79,180.0,top
C10,169.69,-100.59,90.0,top
C11,168.43,-105.93,0.0,top
C12,168.3893,-107.6706,180.0,top
C13,168.4401,-112.268,0.0,top
C14,152.13,-110.87,270.0,top
C2,141.59,-106.82,180.0,top
C3,155.6893,-105.918,0.0,top
C4,155.6893,-107.061,0.0,top
C5,141.5923,-104.267,180.0,top
C6,155.6893,-104.648,0.0,top
C7,150.7363,-110.871,270.0,top
C8,141.7193,-102.997,180.0,top
C9,155.68,-103.13,0.0,top
CDONE0,125.6157,-110.2868,90.0,top
J3,161.0487,-98.806,180.0,top
J4,135.6995,-111.252,0.0,top
J5,135.6741,-98.8568,180.0,top
R1,146.2913,-110.6678,180.0,top
R2,127.3937,-110.8202,90.0,top
RGB0,150.2283,-98.933,90.0,top
S1,125.1585,-105.0798,90.0,top
U$1,148.34235,-105.0036,90.0,top
U1,149.1361,-104.8766,0.0,top
U2,168.3893,-109.982,180.0,top
U3,168.45,-103.64,180.0,top
